consorciado;numero requerimiento;fecha requerimiento;descripcion;tipo solicitud;sede;ubicacion;numero cotizacion consorcio;fecha cotizacion consorcio;numero cotizacion consorciado;fecha cotizacion consorciado;estado cotizacion;valor mano de obra;valor materiales;costo directo;administracion;imprevistos;utilidad;impuesto;total;valor facturado;valor pagado;numero factura;tipo acta;fecha acta;detalle acta;pago consorciado;numero factura consorciado;valor mano obra consorciado;valor materiales consorciado;costo directo consorciado;administracion consorciado;imprevistos consorciado;utilidad consorciado;impuesto consorciado;total consorciado;valor mano obra administracion;valor materiales administracion;costo directo administracion;administracion administracion;imprevistos administracion;utilidad administracion;impuesto administracion;total administracion
INCOEL LTDA;00000425;2009-10-07;"Adecuación puntos eléctricos trifásicos y monofásicos zona Key Account Pto R17 Distribución
";Servicio por demanda;TECHO;Bogotá;00000431-00;2009-11-04;OM09-516 ;2009-11-04;Ejecutada;431000;1114700;1545700;0;0;0;247312;1793012;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000430;2009-10-07;"Adecuación de tubería portería Alsacia CD
";Servicio por demanda;TECHO;Bogotá;00000467-00;2009-11-04;OM09-520 ;2009-11-04;Facturada total;127000;205210;332210;0;0;0;53153;385363;385364;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000426;2009-10-07;"Emergencia en tablero deposito punto k17 Distribución
";Emergencia;TECHO;Bogotá;00000435-00;2009-11-04;OM09-517 ;2009-11-04;Facturada total;70619;0;70619;0;0;0;11299;81918;81918;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000427;2009-10-07;"Adecuación de iluminación en cocina CD
";Servicio por demanda;TECHO;Bogotá;00000464-00;2009-11-04;OM09-519 ;2009-11-04;Facturada total;12000;22000;34000;0;0;0;5440;39440;39440;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000423;2009-10-06;"Adecuación lampara oficina devoluciones
";Servicio por demanda;CUCUTA - CD PREMIER;Cúcuta;00000455-00;2009-11-04;CT-CIM-09-127 ;2009-11-04;Ejecutada;80000;56000;136000;0;0;0;21760;157760;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENERCON LTDA;00000424;2009-10-06;"Emergencia Planta Electrica fuera de servicio
";Emergencia;ARMENIA - CD;Armenia;00000469-00;2009-11-04;EAR-070-09 ;2009-11-04;En ejecución;111916;125000;236916;0;0;0;37906;274822;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000417;2009-10-02;"Atención emergencia por caida del circuito primario
";Emergencia;VILLAVICENCIO - CD;Villavicencio;00000425-00;2009-11-04;CT-CIM-09-111 ;2009-11-04;Ejecutada;217000;0;217000;0;0;0;34720;251720;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000416;2009-10-02;"Adecuación sistema electrico vestiers Distribución
";Proyecto;TECHO;Bogotá;00000423-00;2009-11-04;OM09-510;;Pendiente;4100800;14824855;18925655;0;0;0;3028104;21953759;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000421;2009-10-02;"Adecuación tablero departamento de ventas Centro de Distribución
";Proyecto;VILLAVICENCIO - CD;Villavicencio;00000430-00;2009-11-04;CT-CIM-09-112 ;2009-11-04;En ejecución;205253;651000;856253;0;0;0;137000;993253;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000420;2009-10-02;"Adecuación puerta de Centro de Distribución
";Servicio por demanda;MONTERIA - CD;Montería;00000429-00;2009-11-04;ING-CC-048 ;2009-11-04;Ejecutada;339720;84000;423720;0;0;0;67795;491515;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
